league,line,goals_total,minute_bucket,min_min,max_min,n,median_odds,p25_odds,p75_odds
PL,0.5,0,30-40,30,40,139,1.16,1.12,1.21
PL,0.5,0,40-50,40,50,111,1.23,1.2,1.285
PL,0.5,0,50-60,50,60,59,1.32,1.265,1.375
PL,0.5,0,60-70,60,70,43,1.49,1.375,1.63
PL,0.5,0,70-80,70,80,26,1.86,1.695,1.982
PL,0.5,0,80-90,80,90,13,2.34,2.24,2.38
PL,0.5,0,all,0,999,391,1.23,1.17,1.36
PL,1.5,1,30-40,30,40,122,1.2,1.132,1.498
PL,1.5,1,40-50,40,50,121,1.25,1.19,1.35
PL,1.5,1,50-60,50,60,101,1.3,1.23,1.41
PL,1.5,1,60-70,60,70,79,1.5,1.375,1.695
PL,1.5,1,70-80,70,80,63,1.8,1.555,2.08
PL,1.5,1,80-90,80,90,39,2.24,1.975,2.66
PL,1.5,1,all,0,999,525,1.36,1.21,1.87
PL,2.5,2,30-40,30,40,56,1.49,1.16,1.677
PL,2.5,2,40-50,40,50,85,1.26,1.2,1.76
PL,2.5,2,50-60,50,60,74,1.31,1.222,2.015
PL,2.5,2,60-70,60,70,72,1.635,1.475,2.815
PL,2.5,2,70-80,70,80,82,1.73,1.6,2.26
PL,2.5,2,80-90,80,90,36,2.4,2.155,6.9
PL,2.5,2,all,0,999,405,1.62,1.26,2.16
PL,3.5,3,30-40,30,40,16,1.29,1.13,1.675
PL,3.5,3,40-50,40,50,32,1.665,1.23,1.952
PL,3.5,3,50-60,50,60,21,2.08,1.27,2.56
PL,3.5,3,60-70,60,70,44,1.655,1.397,3.013
PL,3.5,3,70-80,70,80,56,1.845,1.627,3.738
PL,3.5,3,80-90,80,90,32,2.32,2.07,6.1
PL,3.5,3,all,0,999,201,1.87,1.41,2.76
ESP,0.5,0,30-40,30,40,197,1.2,1.14,1.27
ESP,0.5,0,40-50,40,50,141,1.32,1.23,1.41
ESP,0.5,0,50-60,50,60,102,1.41,1.29,1.52
ESP,0.5,0,60-70,60,70,70,1.59,1.4,1.768
ESP,0.5,0,70-80,70,80,58,1.895,1.655,2.21
ESP,0.5,0,80-90,80,90,29,2.58,2.14,2.98
ESP,0.5,0,all,0,999,597,1.32,1.2,1.53
ESP,1.5,1,30-40,30,40,169,1.25,1.17,1.65
ESP,1.5,1,40-50,40,50,210,1.335,1.23,1.712
ESP,1.5,1,50-60,50,60,135,1.41,1.31,1.735
ESP,1.5,1,60-70,60,70,130,1.59,1.45,1.79
ESP,1.5,1,70-80,70,80,118,1.825,1.613,2.2
ESP,1.5,1,80-90,80,90,74,2.46,2.105,2.96
ESP,1.5,1,all,0,999,836,1.505,1.27,2.08
ESP,2.5,2,30-40,30,40,52,1.43,1.208,1.76
ESP,2.5,2,40-50,40,50,82,1.37,1.232,2.055
ESP,2.5,2,50-60,50,60,105,2.12,1.4,2.86
ESP,2.5,2,60-70,60,70,83,1.66,1.47,2.8
ESP,2.5,2,70-80,70,80,115,2.14,1.725,5.3
ESP,2.5,2,80-90,80,90,74,2.87,2.2,8.95
ESP,2.5,2,all,0,999,511,1.86,1.455,2.88
ESP,3.5,3,30-40,30,40,10,1.655,1.172,1.93
ESP,3.5,3,40-50,40,50,45,1.4,1.22,2.02
ESP,3.5,3,50-60,50,60,27,1.75,1.34,3.05
ESP,3.5,3,60-70,60,70,41,2.22,1.47,3.6
ESP,3.5,3,70-80,70,80,55,1.83,1.615,4.25
ESP,3.5,3,80-90,80,90,46,3.1,2.045,10.375
ESP,3.5,3,all,0,999,224,1.95,1.47,3.425
ITA,0.5,0,30-40,30,40,192,1.19,1.14,1.24
ITA,0.5,0,40-50,40,50,173,1.26,1.19,1.34
ITA,0.5,0,50-60,50,60,101,1.37,1.29,1.43
ITA,0.5,0,60-70,60,70,71,1.55,1.44,1.7
ITA,0.5,0,70-80,70,80,55,1.9,1.755,2.06
ITA,0.5,0,80-90,80,90,30,2.41,2.12,3.055
ITA,0.5,0,all,0,999,622,1.29,1.19,1.478
ITA,1.5,1,30-40,30,40,202,1.25,1.16,1.58
ITA,1.5,1,40-50,40,50,233,1.27,1.21,1.45
ITA,1.5,1,50-60,50,60,178,1.38,1.282,1.62
ITA,1.5,1,60-70,60,70,128,1.52,1.417,1.762
ITA,1.5,1,70-80,70,80,120,1.8,1.675,2.105
ITA,1.5,1,80-90,80,90,75,2.22,1.945,2.54
ITA,1.5,1,all,0,999,936,1.42,1.25,1.92
ITA,2.5,2,30-40,30,40,62,1.635,1.202,1.89
ITA,2.5,2,40-50,40,50,116,1.435,1.248,2.065
ITA,2.5,2,50-60,50,60,108,1.435,1.28,2.24
ITA,2.5,2,60-70,60,70,134,1.655,1.48,2.965
ITA,2.5,2,70-80,70,80,145,1.97,1.74,4.2
ITA,2.5,2,80-90,80,90,59,2.46,2.02,6.6
ITA,2.5,2,all,0,999,624,1.82,1.438,2.485
ITA,3.5,3,30-40,30,40,15,1.66,1.575,2.04
ITA,3.5,3,40-50,40,50,37,1.28,1.19,1.98
ITA,3.5,3,50-60,50,60,41,2.18,1.35,2.66
ITA,3.5,3,60-70,60,70,52,2.63,1.455,3.538
ITA,3.5,3,70-80,70,80,94,2.68,1.69,5.35
ITA,3.5,3,80-90,80,90,60,2.43,2.02,8.05
ITA,3.5,3,all,0,999,299,2.14,1.6,3.975
GER,0.5,0,30-40,30,40,59,1.15,1.115,1.195
GER,0.5,0,40-50,40,50,48,1.23,1.21,1.282
GER,0.5,0,50-60,50,60,25,1.26,1.23,1.31
GER,0.5,0,60-70,60,70,17,1.54,1.5,1.63
GER,0.5,0,70-80,70,80,11,1.81,1.67,1.935
GER,0.5,0,80-90,80,90,6,2.37,2.245,2.705
GER,0.5,0,all,0,999,166,1.23,1.16,1.328
GER,1.5,1,30-40,30,40,42,1.16,1.113,1.35
GER,1.5,1,40-50,40,50,71,1.21,1.16,1.41
GER,1.5,1,50-60,50,60,37,1.28,1.23,1.57
GER,1.5,1,60-70,60,70,27,1.46,1.37,1.665
GER,1.5,1,70-80,70,80,37,1.62,1.54,1.77
GER,1.5,1,80-90,80,90,17,2.12,2.0,2.26
GER,1.5,1,all,0,999,231,1.37,1.19,1.72
GER,2.5,2,30-40,30,40,33,1.22,1.15,1.46
